"variable","regionnumber","year","value"
"JOBSI0R","10","2026",68150.47
"JOBSI0R","11","2026",182185.3
"JOBSI0R","12","2026",122071.1
"JOBSI0R","13","2026",40182.74
"JOBSI0R","14","2026",10701.4
"JOBSI0R","1","2027",42720.58
"JOBSI0R","2","2027",423836.6
"JOBSI0R","3","2027",2353842
"JOBSI0R","4","2027",471349.9
"JOBSI0R","5","2027",23587.27
"JOBSI0R","6","2027",21879.31
"JOBSI0R","7","2027",85533.79
"JOBSI0R","8","2027",26813.41
"JOBSI0R","9","2027",71241.58
"JOBSI0R","10","2027",69368.61
"JOBSI0R","11","2027",185592
"JOBSI0R","12","2027",123847.3
"JOBSI0R","13","2027",40723.29
"JOBSI0R","14","2027",10768.17
"JOBSI0R","1","2028",43047.44
"JOBSI0R","2","2028",432183.6
"JOBSI0R","3","2028",2387098
"JOBSI0R","4","2028",479588.2
"JOBSI0R","5","2028",24087.23
"JOBSI0R","6","2028",22004.37
"JOBSI0R","7","2028",86713.45
"JOBSI0R","8","2028",27049.89
"JOBSI0R","9","2028",72397.9
"JOBSI0R","10","2028",70531.24
"JOBSI0R","11","2028",188881.8
"JOBSI0R","12","2028",125661
"JOBSI0R","13","2028",41193.55
"JOBSI0R","14","2028",10823.18
"JOBSI0R","1","2029",43341.07
"JOBSI0R","2","2029",440323
"JOBSI0R","3","2029",2419592
"JOBSI0R","4","2029",487573.1
"JOBSI0R","5","2029",24560.47
"JOBSI0R","6","2029",22099.87
"JOBSI0R","7","2029",87820.73
"JOBSI0R","8","2029",27269.14
"JOBSI0R","9","2029",73492.25
"JOBSI0R","10","2029",71618.97
"JOBSI0R","11","2029",192057.9
"JOBSI0R","12","2029",127487.7
"JOBSI0R","13","2029",41571.76
"JOBSI0R","14","2029",10854.51
"JOBSI0R","1","2030",43613
"JOBSI0R","2","2030",448183.4
"JOBSI0R","3","2030",2451583
"JOBSI0R","4","2030",495223.4
"JOBSI0R","5","2030",24998.95
"JOBSI0R","6","2030",22180.17
"JOBSI0R","7","2030",88884.78
"JOBSI0R","8","2030",27483.2
"JOBSI0R","9","2030",74542.22
"JOBSI0R","10","2030",72666.78
"JOBSI0R","11","2030",195096.2
"JOBSI0R","12","2030",129397.1
"JOBSI0R","13","2030",41871.76
"JOBSI0R","14","2030",10865.58
"JOBSI0R","1","2031",43888.73
"JOBSI0R","2","2031",455909.5
"JOBSI0R","3","2031",2483305
"JOBSI0R","4","2031",502570.4
"JOBSI0R","5","2031",25422.66
"JOBSI0R","6","2031",22238.03
"JOBSI0R","7","2031",89927.99
"JOBSI0R","8","2031",27675.78
"JOBSI0R","9","2031",75605.88
"JOBSI0R","10","2031",73730.16
"JOBSI0R","11","2031",198079.6
"JOBSI0R","12","2031",131410
"JOBSI0R","13","2031",42122.4
"JOBSI0R","14","2031",10871.37
"JOBSI0R","1","2032",44167.7
"JOBSI0R","2","2032",463710.6
"JOBSI0R","3","2032",2515282
"JOBSI0R","4","2032",509649
"JOBSI0R","5","2032",25824.93
"JOBSI0R","6","2032",22299.3
"JOBSI0R","7","2032",90948.72
"JOBSI0R","8","2032",27872.48
"JOBSI0R","9","2032",76675.88
"JOBSI0R","10","2032",74752.28
"JOBSI0R","11","2032",201057.9
"JOBSI0R","12","2032",133556.1
"JOBSI0R","13","2032",42346.72
"JOBSI0R","14","2032",10870.5
"JOBSI0R","1","2033",44450.66
"JOBSI0R","2","2033",471539.7
"JOBSI0R","3","2033",2547888
"JOBSI0R","4","2033",516493.7
"JOBSI0R","5","2033",26201.85
"JOBSI0R","6","2033",22340.43
"JOBSI0R","7","2033",91933.49
"JOBSI0R","8","2033",28056.95
"JOBSI0R","9","2033",77781.67
"JOBSI0R","10","2033",75758.89
"JOBSI0R","11","2033",204055.8
"JOBSI0R","12","2033",135810
"JOBSI0R","13","2033",42558.45
"JOBSI0R","14","2033",10865.12
"JOBSI0R","1","2034",44723.42
"JOBSI0R","2","2034",479366.4
"JOBSI0R","3","2034",2581112
"JOBSI0R","4","2034",523117.4
"JOBSI0R","5","2034",26561.61
"JOBSI0R","6","2034",22387.53
"JOBSI0R","7","2034",92910.77
"JOBSI0R","8","2034",28229.8
"JOBSI0R","9","2034",78874.03
"JOBSI0R","10","2034",76740.86
"JOBSI0R","11","2034",207064.3
"JOBSI0R","12","2034",138122.9
"JOBSI0R","13","2034",42722.48
"JOBSI0R","14","2034",10848.28
"JOBSI0R","1","2035",44980.12
"JOBSI0R","2","2035",487080.4
"JOBSI0R","3","2035",2614889
"JOBSI0R","4","2035",529366.6
"JOBSI0R","5","2035",26894.06
"JOBSI0R","6","2035",22445.16
"JOBSI0R","7","2035",93853.91
"JOBSI0R","8","2035",28376.95
"JOBSI0R","9","2035",79958.78
"JOBSI0R","10","2035",77724.99
"JOBSI0R","11","2035",210017.4
"JOBSI0R","12","2035",140535.6
"JOBSI0R","13","2035",42896.2
"JOBSI0R","14","2035",10827.25
"JOBSI0R","1","2036",45229.03
"JOBSI0R","2","2036",494551.8
"JOBSI0R","3","2036",2648385
"JOBSI0R","4","2036",535483
"JOBSI0R","5","2036",27211.8
"JOBSI0R","6","2036",22500.3
