"variable","countyfips","year","value"
"JOBSI0C","47","1994",4710.012952
"JOBSI0C","49","1994",6531.175313
"JOBSI0C","51","1994",8295.873008
"JOBSI0C","53","1994",329.8923848
"JOBSI0C","55","1994",2186.076099
"JOBSI0C","57","1994",774.1886608
"JOBSI0C","61","1994",876.6863102
"JOBSI0C","63","1994",4058.220468
"JOBSI0C","65","1994",2211.959554
"JOBSI0C","67","1994",22514.01378
"JOBSI0C","69","1994",113791.5658
"JOBSI0C","71","1994",5640.767146
"JOBSI0C","73","1994",2677.704701
"JOBSI0C","75","1994",9322.827414
"JOBSI0C","77","1994",50004.00281
"JOBSI0C","79","1994",406.9055689
"JOBSI0C","81","1994",5639.207257
"JOBSI0C","83","1994",10332.87571
"JOBSI0C","85","1994",13953.69453
"JOBSI0C","87","1994",12692.55517
"JOBSI0C","89","1994",8867.733247
"JOBSI0C","91","1994",1579.229511
"JOBSI0C","93","1994",2546.047733
"JOBSI0C","95","1994",1983.619627
"JOBSI0C","97","1994",17384.99678
"JOBSI0C","99","1994",6568.060893
"JOBSI0C","101","1994",55251.03043
"JOBSI0C","103","1994",3540.450657
"JOBSI0C","105","1994",4590.635705
"JOBSI0C","107","1994",13027.12139
"JOBSI0C","109","1994",2272.535303
"JOBSI0C","111","1994",333.7859117
"JOBSI0C","113","1994",4809.367014
"JOBSI0C","115","1994",1196.129605
"JOBSI0C","117","1994",17604.78254
"JOBSI0C","119","1994",6923.860482
"JOBSI0C","121","1994",2450.971828
"JOBSI0C","123","1994",70745.94409
"JOBSI0C","125","1994",4867.311235
"JOBSI0C","500","1994",1278234.483
"JOBSI0C","3","1995",7815.728041
"JOBSI0C","7","1995",3450.338701
"JOBSI0C","9","1995",2127.608771
"JOBSI0C","11","1995",2249.966349
"JOBSI0C","15","1995",6771.86266
"JOBSI0C","17","1995",1125.799499
"JOBSI0C","19","1995",3128.059375
"JOBSI0C","21","1995",2339.293439
"JOBSI0C","23","1995",1123.617513
"JOBSI0C","25","1995",1118.755737
"JOBSI0C","27","1995",998.8098413
"JOBSI0C","29","1995",9075.537144
"JOBSI0C","33","1995",640.3068497
"JOBSI0C","37","1995",25164.11575
"JOBSI0C","39","1995",3704.386891
"JOBSI0C","41","1995",258614.4642
"JOBSI0C","43","1995",14111.22699
"JOBSI0C","45","1995",19584.55406
"JOBSI0C","47","1995",5285.175067
"JOBSI0C","49","1995",7031.138293
"JOBSI0C","51","1995",8665.145952
"JOBSI0C","53","1995",372.0004559
"JOBSI0C","55","1995",2258.95909
"JOBSI0C","57","1995",697.775942
"JOBSI0C","61","1995",860.0110252
"JOBSI0C","63","1995",3875.897172
"JOBSI0C","65","1995",2448.825924
"JOBSI0C","67","1995",23851.70971
"JOBSI0C","69","1995",120183.0545
"JOBSI0C","71","1995",5953.694281
"JOBSI0C","73","1995",2677.116192
"JOBSI0C","75","1995",9808.875497
"JOBSI0C","77","1995",52505.54009
"JOBSI0C","79","1995",433.9363029
"JOBSI0C","81","1995",6021.288586
"JOBSI0C","83","1995",10513.55848
"JOBSI0C","85","1995",14597.26559
"JOBSI0C","87","1995",13044.26163
"JOBSI0C","89","1995",9182.328564
"JOBSI0C","91","1995",1628.876851
"JOBSI0C","93","1995",2839.441714
"JOBSI0C","95","1995",1949.777908
"JOBSI0C","97","1995",17767.99249
"JOBSI0C","99","1995",6622.116586
"JOBSI0C","101","1995",57678.96417
"JOBSI0C","103","1995",3365.389332
"JOBSI0C","105","1995",4677.659552
"JOBSI0C","107","1995",13519.93954
"JOBSI0C","109","1995",2273.393128
"JOBSI0C","111","1995",305.8349245
"JOBSI0C","113","1995",5203.808101
"JOBSI0C","115","1995",1194.345079
"JOBSI0C","117","1995",18696.2972
"JOBSI0C","119","1995",7793.82211
"JOBSI0C","121","1995",2461.699664
"JOBSI0C","123","1995",73413.65035
"JOBSI0C","125","1995",4882.770104
"JOBSI0C","500","1995",1328020.101
"JOBSI0C","3","1996",8359.806604
"JOBSI0C","7","1996",3818.897924
"JOBSI0C","9","1996",2199.845568
"JOBSI0C","11","1996",2232.953013
"JOBSI0C","15","1996",7190.930904
"JOBSI0C","17","1996",1134.819188
"JOBSI0C","19","1996",3148.379408
"JOBSI0C","21","1996",2412.689092
"JOBSI0C","23","1996",1140.398833
"JOBSI0C","25","1996",1147.333536
"JOBSI0C","27","1996",1117.232307
"JOBSI0C","29","1996",9473.834646
"JOBSI0C","33","1996",662.5012496
"JOBSI0C","37","1996",27017.79211
"JOBSI0C","39","1996",4117.264801
"JOBSI0C","41","1996",269892.9726
"JOBSI0C","43","1996",14735.99808
"JOBSI0C","45","1996",20383.80305
"JOBSI0C","47","1996",4924.028864
"JOBSI0C","49","1996",7372.519666
"JOBSI0C","51","1996",8834.981477
"JOBSI0C","53","1996",385.2626261
"JOBSI0C","55","1996",2484.407678
"JOBSI0C","57","1996",714.5443903
"JOBSI0C","61","1996",900.9044937
"JOBSI0C","63","1996",4011.101604
"JOBSI0C","65","1996",2586.283099
"JOBSI0C","67","1996",24978.40043
"JOBSI0C","69","1996",128309.9793
"JOBSI0C","71","1996",5945.298214
"JOBSI0C","73","1996",2704.441594
"JOBSI0C","75","1996",10113.30736
"JOBSI0C","77","1996",55376.68179
"JOBSI0C","79","1996",458.8542211
"JOBSI0C","81","1996",6064.114118
"JOBSI0C","83","1996",10896.34999
"JOBSI0C","85","1996",15013.85799
"JOBSI0C","87","1996",13192.92221
"JOBSI0C","89","1996",9438.791117
"JOBSI0C","91","1996",1700.737036
"JOBSI0C","93","1996",2969.528277
"JOBSI0C","95","1996",2035.553608
"JOBSI0C","97","1996",18360.85264
"JOBSI0C","99","1996",6881.317483
"JOBSI0C","101","1996",60052.28799
"JOBSI0C","103","1996",3371.836482
"JOBSI0C","105","1996",4780.421306
"JOBSI0C","107","1996",14173.13555
"JOBSI0C","109","1996",2394.700058
"JOBSI0C","111","1996",312.5660097
"JOBSI0C","113","1996",5195.86436
"JOBSI0C","115","1996",1243.356625
