"variable","countyfips","year","value"
"ADJPOPC","55","2007",7658
"ADJPOPC","57","2007",1422
"ADJPOPC","61","2007",1471
"ADJPOPC","63","2007",7835
"ADJPOPC","65","2007",7271
"ADJPOPC","67","2007",49146
"ADJPOPC","69","2007",286754
"ADJPOPC","71","2007",15525
"ADJPOPC","73","2007",5571
"ADJPOPC","75","2007",22403
"ADJPOPC","77","2007",137390
"ADJPOPC","79","2007",803
"ADJPOPC","81","2007",13270
"ADJPOPC","83","2007",25177
"ADJPOPC","85","2007",39131
"ADJPOPC","87","2007",27848
"ADJPOPC","89","2007",18937
"ADJPOPC","91","2007",4274
"ADJPOPC","93","2007",16336
"ADJPOPC","95","2007",4484
"ADJPOPC","97","2007",16236
"ADJPOPC","99","2007",12772
"ADJPOPC","101","2007",154759
"ADJPOPC","103","2007",6093
"ADJPOPC","105","2007",12167
"ADJPOPC","107","2007",22415
"ADJPOPC","109","2007",6159
"ADJPOPC","111","2007",686
"ADJPOPC","113","2007",7276
"ADJPOPC","115","2007",2422
"ADJPOPC","117","2007",27163
"ADJPOPC","119","2007",23164
"ADJPOPC","121","2007",4927
"ADJPOPC","123","2007",238279
"ADJPOPC","125","2007",9881
"ADJPOPC","500","2007",2670038
"ADJPOPC","3","2008",15346
"ADJPOPC","7","2008",12074
"ADJPOPC","9","2008",3906
"ADJPOPC","11","2008",6008
"ADJPOPC","15","2008",17403
"ADJPOPC","17","2008",1898
"ADJPOPC","19","2008",9294
"ADJPOPC","21","2008",8384
"ADJPOPC","23","2008",3611
"ADJPOPC","25","2008",5893
"ADJPOPC","27","2008",4119
"ADJPOPC","29","2008",30342
"ADJPOPC","33","2008",2074
"ADJPOPC","37","2008",50301
"ADJPOPC","39","2008",22663
"ADJPOPC","41","2008",599060
"ADJPOPC","43","2008",46774
"ADJPOPC","45","2008",54226
"ADJPOPC","47","2008",5084
"ADJPOPC","49","2008",14535
"ADJPOPC","51","2008",15137
"ADJPOPC","53","2008",824
"ADJPOPC","55","2008",7680
"ADJPOPC","57","2008",1381
"ADJPOPC","61","2008",1432
"ADJPOPC","63","2008",8042
"ADJPOPC","65","2008",7269
"ADJPOPC","67","2008",50073
"ADJPOPC","69","2008",292394
"ADJPOPC","71","2008",15486
"ADJPOPC","73","2008",5522
"ADJPOPC","75","2008",22324
"ADJPOPC","77","2008",140680
"ADJPOPC","79","2008",767
"ADJPOPC","81","2008",13446
"ADJPOPC","83","2008",25200
"ADJPOPC","85","2008",39952
"ADJPOPC","87","2008",27746
"ADJPOPC","89","2008",18853
"ADJPOPC","91","2008",4407
"ADJPOPC","93","2008",16278
"ADJPOPC","95","2008",4451
"ADJPOPC","97","2008",16673
"ADJPOPC","99","2008",12682
"ADJPOPC","101","2008",156252
"ADJPOPC","103","2008",6160
"ADJPOPC","105","2008",12105
"ADJPOPC","107","2008",22931
"ADJPOPC","109","2008",6176
"ADJPOPC","111","2008",698
"ADJPOPC","113","2008",7304
"ADJPOPC","115","2008",2420
"ADJPOPC","117","2008",27464
"ADJPOPC","119","2008",23102
"ADJPOPC","121","2008",4802
"ADJPOPC","123","2008",244116
"ADJPOPC","125","2008",9895
"ADJPOPC","500","2008",2716819
"ADJPOPC","3","2009",15301
"ADJPOPC","7","2009",11899
"ADJPOPC","9","2009",3814
"ADJPOPC","11","2009",6481
"ADJPOPC","15","2009",17604
"ADJPOPC","17","2009",1833
"ADJPOPC","19","2009",9060
"ADJPOPC","21","2009",8210
"ADJPOPC","23","2009",3505
"ADJPOPC","25","2009",5803
"ADJPOPC","27","2009",4166
"ADJPOPC","29","2009",30625
"ADJPOPC","33","2009",2052
"ADJPOPC","37","2009",51520
"ADJPOPC","39","2009",22890
"ADJPOPC","41","2009",608518
"ADJPOPC","43","2009",46635
"ADJPOPC","45","2009",55400
"ADJPOPC","47","2009",5396
"ADJPOPC","49","2009",14664
"ADJPOPC","51","2009",15266
"ADJPOPC","53","2009",827
"ADJPOPC","55","2009",6710
"ADJPOPC","57","2009",1386
"ADJPOPC","61","2009",1392
"ADJPOPC","63","2009",8269
"ADJPOPC","65","2009",7174
"ADJPOPC","67","2009",50759
"ADJPOPC","69","2009",297502
"ADJPOPC","71","2009",15477
"ADJPOPC","73","2009",5463
"ADJPOPC","75","2009",22517
"ADJPOPC","77","2009",144795
"ADJPOPC","79","2009",714
"ADJPOPC","81","2009",13544
"ADJPOPC","83","2009",25365
"ADJPOPC","85","2009",40680
"ADJPOPC","87","2009",28026
"ADJPOPC","89","2009",18844
"ADJPOPC","91","2009",4372
"ADJPOPC","93","2009",15971
"ADJPOPC","95","2009",4454
"ADJPOPC","97","2009",17053
"ADJPOPC","99","2009",12576
"ADJPOPC","101","2009",157324
"ADJPOPC","103","2009",6317
"ADJPOPC","105","2009",11995
"ADJPOPC","107","2009",23325
"ADJPOPC","109","2009",6126
"ADJPOPC","111","2009",687
"ADJPOPC","113","2009",7267
"ADJPOPC","115","2009",2376
"ADJPOPC","117","2009",27783
"ADJPOPC","119","2009",23205
"ADJPOPC","121","2009",4777
"ADJPOPC","123","2009",248959
"ADJPOPC","125","2009",10036
"ADJPOPC","500","2009",2762164
"ADJPOPC","3","2010",15474
"ADJPOPC","7","2010",12060
"ADJPOPC","9","2010",3795
"ADJPOPC","11","2010",6506
"ADJPOPC","15","2010",17797
"ADJPOPC","17","2010",1834
"ADJPOPC","19","2010",9108
"ADJPOPC","21","2010",8282
"ADJPOPC","23","2010",3532
"ADJPOPC","25","2010",5838
"ADJPOPC","27","2010",4272
"ADJPOPC","29","2010",30889
"ADJPOPC","33","2010",2060
"ADJPOPC","37","2010",52057
"ADJPOPC","39","2010",23107
"ADJPOPC","41","2010",627232
"ADJPOPC","43","2010",46854
"ADJPOPC","45","2010",56150
"ADJPOPC","47","2010",5463
"ADJPOPC","49","2010",14790
"ADJPOPC","51","2010",15309
"ADJPOPC","53","2010",843
"ADJPOPC","55","2010",6655
"ADJPOPC","57","2010",1387
"ADJPOPC","61","2010",1399
"ADJPOPC","63","2010",8267
"ADJPOPC","65","2010",7282
"ADJPOPC","67","2010",51441
"ADJPOPC","69","2010",300532
"ADJPOPC","71","2010",15407
"ADJPOPC","73","2010",5474
"ADJPOPC","75","2010",22293
"ADJPOPC","77","2010",146587
"ADJPOPC","79","2010",705
"ADJPOPC","81","2010",13806
"ADJPOPC","83","2010",25532
"ADJPOPC","85","2010",41188
"ADJPOPC","87","2010",28196
"ADJPOPC","89","2010",18838
"ADJPOPC","91","2010",4446
"ADJPOPC","93","2010",16262
"ADJPOPC","95","2010",4465
"ADJPOPC","97","2010",17156
"ADJPOPC","99","2010",12531
"ADJPOPC","101","2010",159496
"ADJPOPC","103","2010",6617
"ADJPOPC","105","2010",12001
"ADJPOPC","107","2010",23439
"ADJPOPC","109","2010",6144
"ADJPOPC","111","2010",709
"ADJPOPC","113","2010",7356
"ADJPOPC","115","2010",2367
"ADJPOPC","117","2010",28073
"ADJPOPC","119","2010",23441
"ADJPOPC","121","2010",4815
"ADJPOPC","123","2010",254230
"ADJPOPC","125","2010",10032
"ADJPOPC","500","2010",2797896
"ADJPOPC","3","2011",15675
"ADJPOPC","7","2011",11991
"ADJPOPC","9","2011",3795
"ADJPOPC","11","2011",6304
"ADJPOPC","15","2011",18019
"ADJPOPC","17","2011",1870
"ADJPOPC","19","2011",9015
"ADJPOPC","21","2011",8288
"ADJPOPC","23","2011",3634
"ADJPOPC","25","2011",5797
"ADJPOPC","27","2011",4225
"ADJPOPC","29","2011",30335
"ADJPOPC","33","2011",2020
"ADJPOPC","37","2011",51677
"ADJPOPC","39","2011",23233
"ADJPOPC","41","2011",637282
"ADJPOPC","43","2011",47329
"ADJPOPC","45","2011",56094
"ADJPOPC","47","2011",5463
"ADJPOPC","49","2011",14529
"ADJPOPC","51","2011",15388
"ADJPOPC","53","2011",829
"ADJPOPC","55","2011",6496
"ADJPOPC","57","2011",1374
"ADJPOPC","61","2011",1442
"ADJPOPC","63","2011",8194
"ADJPOPC","65","2011",7387
"ADJPOPC","67","2011",51874
"ADJPOPC","69","2011",305017
"ADJPOPC","71","2011",15036
"ADJPOPC","73","2011",5401
"ADJPOPC","75","2011",22190
"ADJPOPC","77","2011",147355
"ADJPOPC","79","2011",707
"ADJPOPC","81","2011",13425
"ADJPOPC","83","2011",25428
"ADJPOPC","85","2011",40916
"ADJPOPC","87","2011",28444
"ADJPOPC","89","2011",18863
"ADJPOPC","91","2011",4411
"ADJPOPC","93","2011",16097
"ADJPOPC","95","2011",4365
"ADJPOPC","97","2011",17111
"ADJPOPC","99","2011",12446
"ADJPOPC","101","2011",160252
"ADJPOPC","103","2011",6762
"ADJPOPC","105","2011",11910
"ADJPOPC","107","2011",23172
"ADJPOPC","109","2011",6226
"ADJPOPC","111","2011",696
"ADJPOPC","113","2011",7488
"ADJPOPC","115","2011",2368
"ADJPOPC","117","2011",27906
"ADJPOPC","119","2011",23303
"ADJPOPC","121","2011",4794
"ADJPOPC","123","2011",258368
"ADJPOPC","125","2011",10124
"ADJPOPC","500","2011",2847228
"ADJPOPC","3","2012",15680
"ADJPOPC","7","2012",12081
"ADJPOPC","9","2012",3736
"ADJPOPC","11","2012",5756
"ADJPOPC","15","2012",18138
"ADJPOPC","17","2012",1876
"ADJPOPC","19","2012",9037
"ADJPOPC","21","2012",8261
"ADJPOPC","23","2012",3570
"ADJPOPC","25","2012",5340
"ADJPOPC","27","2012",4240
"ADJPOPC","29","2012",30431
"ADJPOPC","33","2012",1987
"ADJPOPC","37","2012",51821
"ADJPOPC","39","2012",23396
